input_reaction_separated,input_reaction_combined,product_1_tokenized,product_2_tokenized
c 1 ( O C ) c c c ( c c 1 ) B ( O ) O . O = [N+] ( c 1 c c c ( c c 1 ) S ( = O ) ( = O ) N ) [O-] > Cl C C Cl . O = C ( [O-] ) [O-] . [Na+] . [Na+] . O = C ( C ) [O-] . [O-] C ( = O ) C . [Cu+2],c 1 ( O C ) c c c ( c c 1 ) B ( O ) O . O = C ( C ) [O-] . [O-] C ( = O ) C . [Cu+2] . O = [N+] ( c 1 c c c ( c c 1 ) S ( = O ) ( = O ) N ) [O-] . O = C ( [O-] ) [O-] . [Na+] . [Na+] . Cl C C Cl,C O c 1 c c c ( N S ( = O ) ( = O ) c 2 c c c ( [N+] ( = O ) [O-] ) c c 2 ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) c 2 c c c ( [N+] ( = O ) [O-] ) c c 2 ) c c 1
O ( C ) c 1 c c c ( c c 1 ) B ( O ) O . N S ( = O ) ( C C C C O C ) = O > C C # N . O = C ( [O-] ) [O-] . [K+] . [K+] . F C ( F ) ( S ( [O-] ) ( = O ) = O ) F . O = S ( = O ) ( [O-] ) C ( F ) ( F ) F . [Cu+2],O = C ( [O-] ) [O-] . [K+] . [K+] . F C ( F ) ( S ( [O-] ) ( = O ) = O ) F . O = S ( = O ) ( [O-] ) C ( F ) ( F ) F . [Cu+2] . N S ( = O ) ( C C C C O C ) = O . O ( C ) c 1 c c c ( c c 1 ) B ( O ) O . C C # N,C O C C C C S ( = O ) ( = O ) N c 1 c c c ( O C ) c c 1,C O C C C C S ( = O ) ( = O ) N ( c 1 c c c ( O C ) c c 1 ) c 1 c c c ( O C ) c c 1
c 1 c c ( c c c 1 B ( O ) O ) O C . C 1 C C c 2 c c c ( c c 2 1 ) S ( = O ) ( = O ) N > C N ( C ) C C N ( C ) C . C N ( C C N ( C ) C ) C . [Cl-] . [Cl-] . [Cu+2] . [Cu+2] . [OH-] . [OH-] . C C # N . C C N ( C ( C ) C ) C ( C ) C,c 1 c c ( c c c 1 B ( O ) O ) O C . C 1 C C c 2 c c c ( c c 2 1 ) S ( = O ) ( = O ) N . C N ( C ) C C N ( C ) C . C N ( C C N ( C ) C ) C . [Cl-] . [Cl-] . [Cu+2] . [Cu+2] . [OH-] . [OH-] . C C N ( C ( C ) C ) C ( C ) C . C C # N,C O c 1 c c c ( N S ( = O ) ( = O ) c 2 c c c 3 c ( c 2 ) C C C 3 ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) c 2 c c c 3 c ( c 2 ) C C C 3 ) c c 1
C ( # N ) C C C S ( N ) ( = O ) = O . c 1 c ( c c c ( O C ) c 1 ) B ( O ) O > C C N ( C C ) C C . C C O C ( C ) = O . C ( C ) ( = O ) [O-] . O = C ( C ) [O-] . [Cu+2],C ( C ) ( = O ) [O-] . O = C ( C ) [O-] . [Cu+2] . c 1 c ( c c c ( O C ) c 1 ) B ( O ) O . C ( # N ) C C C S ( N ) ( = O ) = O . C C N ( C C ) C C . C C O C ( C ) = O,C O c 1 c c c ( N S ( = O ) ( = O ) C C C C # N ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) C C C C # N ) c c 1
O ( C ) c 1 c c c ( B ( O ) O ) c c 1 . C O C ( c 1 c ( c c ( S ( = O ) ( N ) = O ) o 1 ) C ) = O > C C # N . C ( [O-] ) ( = O ) C . [O-] C ( C ) = O . [Cu+2] . O = P ( [O-] ) ( [O-] ) [O-] . [K+] . [K+] . [K+],C O C ( c 1 c ( c c ( S ( = O ) ( N ) = O ) o 1 ) C ) = O . C ( [O-] ) ( = O ) C . [O-] C ( C ) = O . [Cu+2] . O = P ( [O-] ) ( [O-] ) [O-] . [K+] . [K+] . [K+] . O ( C ) c 1 c c c ( B ( O ) O ) c c 1 . C C # N,C O C ( = O ) c 1 o c ( S ( = O ) ( = O ) N c 2 c c c ( O C ) c c 2 ) c c 1 C,C O C ( = O ) c 1 o c ( S ( = O ) ( = O ) N ( c 2 c c c ( O C ) c c 2 ) c 2 c c c ( O C ) c c 2 ) c c 1 C
O B ( c 1 c c c ( c c 1 ) O C ) O . S ( C C N ( C ) C ) ( N ) ( = O ) = O > C O . C ( N ( C ) C ) C N ( C ) C . C N ( C ) C C N ( C ) C . [Cl-] . [Cl-] . [Cu+2] . [Cu+2] . [OH-] . [OH-] . C C N ( C C ) C C,C ( N ( C ) C ) C N ( C ) C . C N ( C ) C C N ( C ) C . [Cl-] . [Cl-] . [Cu+2] . [Cu+2] . [OH-] . [OH-] . O B ( c 1 c c c ( c c 1 ) O C ) O . C O . S ( C C N ( C ) C ) ( N ) ( = O ) = O . C C N ( C C ) C C,C O c 1 c c c ( N S ( = O ) ( = O ) C C N ( C ) C ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) C C N ( C ) C ) c c 1
C O c 1 c c c ( B ( O ) O ) c c 1 . F C ( F ) ( F ) c 1 n n ( c ( - c 2 c c c ( C ) c c 2 ) c 1 ) - c 1 c c c ( c c 1 ) S ( = O ) ( = O ) N > O = C ( [O-] ) [O-] . [K+] . [K+] . C ( # N ) C . C C # N . N # C C . C C # N . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+] . Cl C C Cl,C O c 1 c c c ( B ( O ) O ) c c 1 . C ( # N ) C . C C # N . N # C C . C C # N . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+] . O = C ( [O-] ) [O-] . [K+] . [K+] . Cl C C Cl . F C ( F ) ( F ) c 1 n n ( c ( - c 2 c c c ( C ) c c 2 ) c 1 ) - c 1 c c c ( c c 1 ) S ( = O ) ( = O ) N,C O c 1 c c c ( N S ( = O ) ( = O ) c 2 c c c ( - n 3 n c ( C ( F ) ( F ) F ) c c 3 - c 3 c c c ( C ) c c 3 ) c c 2 ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) c 2 c c c ( - n 3 n c ( C ( F ) ( F ) F ) c c 3 - c 3 c c c ( C ) c c 3 ) c c 2 ) c c 1
O = S ( c 1 c c c c c 1 I ) ( = O ) N . O ( c 1 c c c ( B ( O ) O ) c c 1 ) C > N # C C . C ( # N ) C . N # C C . C ( # N ) C . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+] . C C # N . O = C ( [O-] ) [O-] . [K+] . [K+],C C # N . O = S ( c 1 c c c c c 1 I ) ( = O ) N . O ( c 1 c c c ( B ( O ) O ) c c 1 ) C . N # C C . C ( # N ) C . N # C C . C ( # N ) C . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+] . O = C ( [O-] ) [O-] . [K+] . [K+],C O c 1 c c c ( N S ( = O ) ( = O ) c 2 c c c c c 2 I ) c c 1,C O c 1 c c c ( N ( c 2 c c c ( O C ) c c 2 ) S ( = O ) ( = O ) c 2 c c c c c 2 I ) c c 1
c 1 ( - n 2 n c ( c c 2 - c 2 c c c ( C ) c c 2 ) C ( F ) ( F ) F ) c c c ( c c 1 ) S ( = O ) ( N ) = O . F C ( F ) ( F ) c 1 c c c ( B ( O ) O ) c c 1 > C ( # N ) C . N # C C . C C # N . N # C C . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+] . C C O C ( C ) = O . C C N ( C C ) C C,C ( # N ) C . N # C C . C C # N . N # C C . F [P-] ( F ) ( F ) ( F ) ( F ) F . [Cu+] . C C N ( C C ) C C . c 1 ( - n 2 n c ( c c 2 - c 2 c c c ( C ) c c 2 ) C ( F ) ( F ) F ) c c c ( c c 1 ) S ( = O ) ( N ) = O . F C ( F ) ( F ) c 1 c c c ( B ( O ) O ) c c 1 . C C O C ( C ) = O,C c 1 c c c ( - c 2 c c ( C ( F ) ( F ) F ) n n 2 - c 2 c c c ( S ( = O ) ( = O ) N c 3 c c c ( C ( F ) ( F ) F ) c c 3 ) c c 2 ) c c 1,C c 1 c c c ( - c 2 c c ( C ( F ) ( F ) F ) n n 2 - c 2 c c c ( S ( = O ) ( = O ) N ( c 3 c c c ( C ( F ) ( F ) F ) c c 3 ) c 3 c c c ( C ( F ) ( F ) F ) c c 3 ) c c 2 ) c c 1
C ( S ( = O ) ( N ) = O ) C C C O C . c 1 c c ( c c c 1 O C ) B ( O ) O > C ( C ) # N . C ( # N ) C . C ( C ) # N . C ( C ) # N . [P-] ( F ) ( F ) ( F ) ( F ) ( F ) F . [Cu+] . C O . C C N ( C ( C ) C ) C ( C ) C,C ( S ( = O ) ( N ) = O ) C C C O C . c 1 c c ( c c c 1 O C ) B ( O ) O . C ( C ) # N . C ( # N ) C . C ( C ) # N . C ( C ) # N . [P-] ( F ) ( F ) ( F ) ( F ) ( F ) F . [Cu+] . C O . C C N ( C ( C ) C ) C ( C ) C,C O C C C C S ( = O ) ( = O ) N c 1 c c c ( O C ) c c 1,C O C C C C S ( = O ) ( = O ) N ( c 1 c c c ( O C ) c c 1 ) c 1 c c c ( O C ) c c 1
